高雄市小港區宏平路390號392號 22.5700253,120.3586054 00:00 - 24:00
高雄市小港區宏亮里山明路445號447號 22.567985,120.362370 00:00 - 24:00
高雄市小港區松舍里漢民路829號 22.569267,120.365340 00:00 - 24:00
高雄市小港區山明里松信路88號1樓 22.560936,120.374012 00:00 - 24:00
高雄市小港區順苓里宏平路501號 22.569737,120.354755 00:00 - 24:00
高雄市小港區孔鳳路557號 22.583240,120.358591 00:00 - 24:00
高雄市小港區桂陽路255號 22.581887,120.353584 00:00 - 24:00
高雄市小港區桂林里中安路428號 22.5847436,120.3497357 00:00 - 24:00
高雄市小港區平和路156號 22.567277,120.332135 00:00 - 24:00
高雄市小港區小港里小港路77號 22.565343,120.341532 00:00 - 24:00
高雄市小港區漢民路132號134號1樓 22.56408,120.350705 00:00 - 24:00
高雄市小港區中安路739號 22.584942,120.362625 00:00 - 24:00
高雄市阿蓮區中正路407號 22.880607,120.332551 00:00 - 24:00
高雄市阿蓮區阿蓮里中正路188-8號 22.881537,120.338370 00:00 - 24:00
高雄市路竹區國昌路1號 22.854011,120.261028 00:00 - 24:00
高雄市路竹區中正路172號172之1號 22.854389,120.263811 00:00 - 24:00
高雄市路竹區北嶺里中山南路221號 22.820767,120.270358 00:00 - 24:00
高雄市路竹區華正路390號 22.859704,120.227944 00:00 - 24:00
高雄市路竹區國昌路312號 22.8540135,120.2609524 00:00 - 24:00
高雄市路竹區大社路162號 22.865232,120.264250 00:00 - 24:00
高雄市路竹區社南里大社路42號42之1號46號1樓 22.8625851,120.261751 00:00 - 24:00
高雄市路竹區下坑里太平路342-2號 22.867626,120.290427 00:00 - 24:00
高雄市路竹區後鄉路37號 22.844254,120.2455402 00:00 - 24:00
高雄市路竹區環球路201之27號 22.8798987,120.2705098 00:00 - 24:00
高雄市湖內區葉厝里保生路135號137號 22.8806189,120.2495959 00:00 - 24:00
高雄市湖內區中正路二段158號1樓 22.9086194,120.211967 00:00 - 24:00
高雄市湖內區中山路一段540-1號 22.8947914,120.240333 00:00 - 24:00
高雄市湖內區湖東里中山路一段229號 22.8794792,120.2482058 00:00 - 24:00
高雄市茄萣區茄萣路二段403號1樓 22.906489,120.183744 00:00 - 24:00
高雄市茄萣區崎漏里民治路188號 22.874555,120.193306 00:00 - 24:00
高雄市梓官區智蚵里中正路186號 22.728935,120.256619 00:00 - 24:00
高雄市梓官區大舍南路175號 22.742953,120.263245 00:00 - 24:00
高雄市梓官區嘉展路370號 22.736051,120.255841 00:00 - 24:00
高雄市旗山區延平一路446號1樓 22.8917085,120.4832438 00:00 - 24:00
高雄市旗山區太平里旗南一路121號 22.882888,120.478545 00:00 - 24:00
高雄市旗山區旗甲路二段373號1樓 22.9234667,120.4977566 00:00 - 24:00
高雄市旗山區東平里延平二路136號 22.883071,120.496593 00:00 - 24:00
高雄市旗山區大德里延平一路710-1號 22.8835402,120.4830491 00:00 - 24:00
高雄市美濃區泰安里泰安路59號 22.9020192,120.539249 00:00 - 24:00
高雄市美濃區中壇里忠孝路一段1號 22.886589,120.5305188 00:00 - 24:00
高雄市美濃區龍山里中華路58號1樓 22.8784497,120.5701279 00:00 - 24:00
高雄市六龜區義寶里光復路98號 22.995705,120.634966 00:00 - 24:00
高雄市六龜區荖濃里南橫路45號 23.0763321,120.6316653 00:00 - 24:00
高雄市六龜區寶來里中正路84號86號 23.1089495,120.6996392 00:00 - 24:00
高雄市內門區內門里內門99之19號 22.9044715,120.467865 00:00 - 24:00
高雄市內門區觀亭里南屏路78號 22.919342,120.456420 00:00 - 24:00
台中市北屯區崇德路三段115號 24.1857221,120.686004 00:00 - 24:00
